order_book_id,date,prev_close,close,volume,open,low,total_turnover,high
000300.XSHG,2025-10-16,4606.2879,4618.4218,24823551800.0,4588.9206,4586.2801,560567191741.4,4645.0959
000300.XSHG,2025-10-17,4618.4218,4514.2345,25690561700.0,4610.6967,4509.3289,559085965218.7,4618.5621
000300.XSHG,2025-10-20,4514.23449,4538.2201,21842040500.0,4558.2421,4520.5024,505798833703.2,4570.4376
000300.XSHG,2025-10-21,4538.22009,4607.8715,21571117500.0,4556.1224,4547.9283,551390253215.9,4615.463
000300.XSHG,2025-10-22,4607.8715,4592.57,18533396000.0,4576.0277,4567.2361,440935302747.4,4603.4884
000300.XSHG,2025-10-23,4592.57,4606.3447,20046391700.0,4578.7018,4541.6944,420800208775.6,4611.3409
000300.XSHG,2025-10-24,4606.34469,4660.6835,20881448300.0,4622.7873,4622.7873,551986648560.5,4660.6835
000300.XSHG,2025-10-27,4660.6835,4716.0186,26220067400.0,4699.3819,4687.6876,672670372522.7,4720.4288
000300.XSHG,2025-10-28,4716.0186,4691.973,22090664500.0,4697.7277,4679.2288,571563257095.5,4734.3218
000300.XSHG,2025-10-29,4691.973,4747.8378,24621132400.0,4701.0362,4697.268,645898688765.2,4747.8378
000300.XSHG,2025-10-30,4747.8378,4709.911,27328911800.0,4735.9807,4706.452,719956285438.0,4761.8339
000300.XSHG,2025-10-31,4709.911,4640.6676,28146474000.0,4702.4946,4640.6676,680712251492.7,4706.1395
000300.XSHG,2025-11-03,4640.6676,4653.4028,23986980900.0,4636.7323,4595.7339,557602941095.9,4653.4028
000300.XSHG,2025-11-04,4653.4028,4618.699,23322403200.0,4649.3481,4595.066,505177700976.6,4665.323
000300.XSHG,2025-11-05,4618.69899,4627.257,20304587100.0,4562.1117,4558.7647,468361161388.7,4642.6101
000300.XSHG,2025-11-06,4627.25699,4693.4032,22424100800.0,4642.0112,4642.0112,553641780921.2,4698.0935
000300.XSHG,2025-11-07,4693.4032,4678.7944,21249737700.0,4673.7616,4666.0405,507573849500.2,4701.3743
000300.XSHG,2025-11-10,4678.7944,4695.0507,23602676400.0,4688.124,4654.2103,593977127605.0,4695.1794
000300.XSHG,2025-11-11,4695.0507,4652.1655,18663885800.0,4706.3374,4648.4896,477629076357.0,4707.1275
000300.XSHG,2025-11-12,4652.1655,4645.9079,20946059200.0,4643.5592,4620.9897,492308866408.7,4669.6073
000300.XSHG,2025-11-13,4645.9079,4702.0738,20736747400.0,4643.7862,4643.7862,510060678210.4,4703.4897
000300.XSHG,2025-11-14,4702.0738,4628.1398,19209267600.0,4663.3175,4628.0242,444720433578.5,4684.2578
000300.XSHG,2025-11-17,4628.1398,4598.0525,18895546600.0,4616.8058,4580.2613,438940097527.8,4624.8976
000300.XSHG,2025-11-18,4598.0525,4568.1928,17771318500.0,4584.7896,4552.8038,420150126547.0,4606.6167
000300.XSHG,2025-11-19,4568.1928,4588.2922,17292497400.0,4568.0365,4568.0365,385230481969.8,4607.8627
000300.XSHG,2025-11-20,4588.2922,4564.9483,19456259300.0,4619.5401,4560.1814,415064817729.8,4620.6529
000300.XSHG,2025-11-21,4564.9483,4453.6076,22285101300.0,4513.3858,4453.1819,481295814462.6,4527.0436
000300.XSHG,2025-11-24,4453.6076,4448.0478,18583372900.0,4473.1563,4421.8123,425807469499.9,4478.8081
000300.XSHG,2025-11-25,4448.0478,4490.4047,16957192900.0,4475.8359,4467.3529,411523796962.4,4510.7729
000300.XSHG,2025-11-26,4490.4047,4517.6255,15620036800.0,4490.2021,4485.6984,427361377738.4,4538.1361
000300.XSHG,2025-11-27,4517.6255,4515.4027,15031177200.0,4520.014,4509.8635,417789843567.7,4559.2183
000300.XSHG,2025-11-28,4515.40269,4526.6616,14290209600.0,4511.4972,4492.4256,341832317979.4,4531.7219
000300.XSHG,2025-12-01,4526.6616,4576.4856,20038231700.0,4539.1877,4531.2917,463861587251.4,4576.9654
000300.XSHG,2025-12-02,4576.4856,4554.3347,14849313200.0,4571.9098,4539.4312,364366426477.8,4575.4945
000300.XSHG,2025-12-03,4554.3347,4531.0486,16976279000.0,4554.5894,4523.5017,374486168902.9,4569.821
000300.XSHG,2025-12-04,4531.0486,4546.5664,14719811000.0,4533.6004,4514.1878,348767399211.7,4557.4228
000300.XSHG,2025-12-05,4546.5664,4584.5368,19679996800.0,4547.9056,4535.0195,412146806538.3,4593.8279
000300.XSHG,2025-12-08,4584.5368,4621.7545,19962099000.0,4593.1399,4592.7414,496716196112.2,4640.6256
000300.XSHG,2025-12-09,4621.7545,4598.2232,18416034400.0,4611.379,4584.254,452113884581.0,4628.7049
000300.XSHG,2025-12-10,4598.2232,4591.8273,16911110600.0,4586.254,4549.0798,401452781497.6,4598.5366
000300.XSHG,2025-12-11,4591.8273,4552.1848,16841940500.0,4597.1901,4547.1372,432431093509.7,4610.2787
000300.XSHG,2025-12-12,4552.1848,4580.95,21282652000.0,4558.7375,4530.7841,523863221651.9,4583.6753
